company,ticker,fiscal_year,fiscal_year_end,revenue_inr_crore,operating_margin_pct,net_profit_inr_crore,basic_eps_inr,headcount,source_urls
Infosys,INFY,FY2022,2022-03-31,121641,23.0,22110,52.52,314015,https://www.infosys.com/investors/reports-filings/annual-report/annual/documents/integrated-annual-report2021-22/pdf/fy2022-businesshighlights.pdf; https://www.infosys.com/investors/reports-filings/annual-report/annual/documents/integrated-annual-report2021-22/pdf/mda.pdf
Infosys,INFY,FY2023,2023-03-31,146767,21.0,24095,57.63,343234,https://www.infosys.com/investors/reports-filings/annual-report/annual-reports/ar-2022-23.html; https://www.infosys.com/investors/reports-filings/financials/employee-data.html
Infosys,INFY,FY2024,2024-03-31,153670,20.7,26233,63.39,317240,https://www.infosys.com/investors/reports-filings/annual-report/annual-reports/ar-2023-24.html; https://www.infosys.com/investors/reports-filings/annual-report/annual/documents/2023-24/business-highlights.pdf; https://www.infosys.com/investors/reports-filings/financials/employee-data.html
Infosys,INFY,FY2025,2025-03-31,162990,21.1,26713,64.5,323578,https://www.infosys.com/investors/reports-filings/quarterly-results/2024-2025/q4/documents/fact-sheet.pdf; https://www.infosys.com/investors/reports-filings/annual-report/annual-reports/ar-2024-25.html; https://www.infosys.com/investors/reports-filings/financials/employee-data.html
TCS,TCS,FY2022,2022-03-31,191754,25.3,38327,103.62,592195,https://www.tcs.com/who-we-are/newsroom/press-release/tcs-financial-results-q4-fy-2022; https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/management-commentary/ir_presentations/TCS_Investor_Relations_Presentation_4Q23.pdf
TCS,TCS,FY2023,2023-03-31,225458,24.1,42147,115.19,614795,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2022-23/q4/Presentations/Q4%20FY%202022-23%20Fact%20sheet.pdf; https://www.tcs.com/content/dam/tcs/pdf/discover-tcs/investor-relations/management-commentary/ir_presentations/IR-Presentation-q4-23.pdf
TCS,TCS,FY2024,2024-03-31,240893,24.6,46585,125.88,601546,https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2023-24/q4/Presentations/Q4%202023-24%20Fact%20Sheet.pdf; https://on.tcs.com/Q4FY24-PR-INR; https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q4/IND%20AS/Consolidated%20and%20Standalone.pdf
TCS,TCS,FY2025,2025-03-31,255324,24.3,48797,134.19,607979,https://on.tcs.com/Annual-Report-2025; https://on.tcs.com/Q4FY25-PR-INR; https://www.tcs.com/content/dam/tcs/investor-relations/financial-statements/2024-25/q4/IND%20AS/Consolidated%20and%20Standalone.pdf
Wipro,WIPRO,FY2022,2022-03-31,79529,17.7,12219,11.17,236204,https://www.wipro.com/investors/annual-reports/2021-22/; https://www.wipro.com/content/dam/nexus/staticsites/annual-report-2022/pdf/statutory_report.pdf; https://www.wipro.com/investors/last-5-years-data/
Wipro,WIPRO,FY2023,2023-03-31,90935,16.3,11350,10.37,256921,https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2022-2023/q4fy23/datasheet-q4fy23.pdf; https://www.wipro.com/investors/last-5-years-data/
Wipro,WIPRO,FY2024,2024-03-31,89794,16.1,11045,10.44,234054,https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2023-2024/q4fy24/datasheet-q4fy24.pdf; https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2023-2024/q4fy24/press-release-q4fy24.pdf; https://www.wipro.com/investors/last-5-years-data/
Wipro,WIPRO,FY2025,2025-03-31,89092,17.1,13135,12.56,233346,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2024-2025/Integrated-annual-report-2024-25.pdf; https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2024-2025/q4fy25/datasheet-q4fy25.pdf; https://www.wipro.com/investors/last-5-years-data/
